Game_Date,Pitcher,line,odds,Predicted_K,edge,bet_recommendation,confidence,predicted_so,Pitcher_clean,Pitcher_fuzzy,Strikeouts,Result
2025-06-01,bryce elder,4.5,-116,0.9054851335696132,-3.5945148664303868,✅ Under,🔥🔥🔥🔥🔥,,bryce elder,bryce elder,3.0,Over
2025-06-01,clay holmes,6.5,-108,0.8630003531812253,-5.636999646818775,✅ Under,🔥🔥🔥🔥🔥,,clay holmes,clay holmes,3.0,Over
2025-06-01,corbin burnes,5.5,106,1.3093868451728363,-4.190613154827164,✅ Under,🔥🔥🔥🔥🔥,,corbin burnes,corbin burnes,6.0,Over
2025-06-01,erick fedde,4.5,134,0.802145232617417,-3.697854767382583,✅ Under,🔥🔥🔥🔥🔥,,erick fedde,erick fedde,5.0,Over
2025-06-01,gavin williams,6.5,-120,1.1408345094697936,-5.359165490530207,✅ Under,🔥🔥🔥🔥🔥,,gavin williams,gavin williams,3.0,Over
2025-06-01,hayden birdsong,4.5,-148,0.6287170626699291,-3.871282937330071,✅ Under,🔥🔥🔥🔥🔥,,hayden birdsong,hayden birdsong,6.0,Over
2025-06-01,hunter brown,7.5,124,1.0922606717829046,-6.407739328217096,✅ Under,🔥🔥🔥🔥🔥,,hunter brown,hunter brown,8.0,Over
2025-06-01,jack kochanowicz,3.5,132,0.8439600847636739,-2.656039915236326,✅ Under,🔥🔥🔥🔥🔥,,jack kochanowicz,jack kochanowicz,5.0,Over
2025-06-01,jacob degrom,5.5,-150,0.9937558621473904,-4.50624413785261,✅ Under,🔥🔥🔥🔥🔥,,jacob degrom,jacob degrom,0.0,Under
2025-06-01,jameson taillon,5.5,116,0.8750797182605904,-4.62492028173941,✅ Under,🔥🔥🔥🔥🔥,,jameson taillon,jameson taillon,7.0,Over
2025-06-01,jose quintana,3.5,-125,0.8826403997018688,-2.617359600298131,✅ Under,🔥🔥🔥🔥🔥,,jose quintana,jose quintana,3.0,Over
2025-06-01,jp sears,3.5,-115,0.9413649975403888,-2.558635002459611,✅ Under,🔥🔥🔥🔥🔥,,jp sears,jp sears,4.0,Over
2025-06-01,keider montero,3.5,124,0.9159648258419224,-2.5840351741580774,✅ Under,🔥🔥🔥🔥🔥,,keider montero,keider montero,3.0,Over
2025-06-01,luis castillo,6.5,120,1.0866335638689475,-5.413366436131052,✅ Under,🔥🔥🔥🔥🔥,,luis castillo,luis castillo,6.0,Over
2025-06-01,mitchell parker,3.5,118,1.1351090942938669,-2.364890905706133,✅ Under,🔥🔥🔥🔥,,mitchell parker,mitchell parker,4.0,Over
2025-06-01,nick martinez,4.5,118,0.92020219234354,-3.57979780765646,✅ Under,🔥🔥🔥🔥🔥,,nick martinez,nick martinez,2.0,Over
2025-06-01,randy vasquez,3.5,-140,0.7579458756303606,-2.7420541243696395,✅ Under,🔥🔥🔥🔥🔥,,randy vasquez,randy vásquez,5.0,Over
2025-06-01,ranger suarez,5.5,120,1.0245811409245895,-4.47541885907541,✅ Under,🔥🔥🔥🔥🔥,,ranger suarez,ranger suárez,8.0,Over
2025-06-01,ryan yarbrough,3.5,-130,0.6343807224936296,-2.8656192775063705,✅ Under,🔥🔥🔥🔥🔥,,ryan yarbrough,ryan yarbrough,7.0,Over
2025-06-01,yoshinobu yamamoto,6.5,-116,1.223379822871644,-5.276620177128356,✅ Under,🔥🔥🔥🔥🔥,,yoshinobu yamamoto,yoshinobu yamamoto,7.0,Over
2025-06-01,andrew heaney,3.5,-136,0.8823614075534958,-2.617638592446504,✅ Under,🔥🔥🔥🔥🔥,,andrew heaney,andrew heaney,2.0,Over
2025-06-01,corbin burnes,7.5,-154,1.201541203486913,-6.298458796513087,✅ Under,🔥🔥🔥🔥🔥,,corbin burnes,corbin burnes,6.0,Over
2025-06-01,randy vasquez,3.5,-122,0.7649204805257385,-2.7350795194742616,✅ Under,🔥🔥🔥🔥🔥,,randy vasquez,randy vásquez,5.0,Over
2025-06-01,ryan yarbrough,3.5,-111,0.7103370911207938,-2.7896629088792064,✅ Under,🔥🔥🔥🔥🔥,,ryan yarbrough,ryan yarbrough,7.0,Over
2025-06-01,yoshinobu yamamoto,6.5,-116,1.1520802156547911,-5.347919784345208,✅ Under,🔥🔥🔥🔥🔥,,yoshinobu yamamoto,yoshinobu yamamoto,7.0,Over
2025-06-01,andrew heaney,3.5,-136,,-2.617638592446504,✅ Under,🔥🔥🔥🔥🔥,0.8823614075534958,andrew heaney,andrew heaney,2.0,No Data
2025-06-01,corbin burnes,7.5,-154,,-6.298458796513087,✅ Under,🔥🔥🔥🔥🔥,1.201541203486913,corbin burnes,corbin burnes,6.0,No Data
2025-06-01,randy vasquez,3.5,-122,,-2.7350795194742616,✅ Under,🔥🔥🔥🔥🔥,0.7649204805257385,randy vasquez,randy vásquez,5.0,No Data
2025-06-01,ryan yarbrough,3.5,-111,,-2.7896629088792064,✅ Under,🔥🔥🔥🔥🔥,0.7103370911207938,ryan yarbrough,ryan yarbrough,7.0,No Data
2025-06-01,yoshinobu yamamoto,6.5,-116,,-5.347919784345208,✅ Under,🔥🔥🔥🔥🔥,1.1520802156547911,yoshinobu yamamoto,yoshinobu yamamoto,7.0,No Data
2025-06-01,corbin burnes,7.5,-154,,1.4852312022062346,✅ Over,🔥🔥,8.985231202206235,corbin burnes,corbin burnes,6.0,No Data
2025-06-01,randy vasquez,3.5,-122,,-1.173412217237659,✅ Under,🔥🔥,2.3265877827623407,randy vasquez,randy vásquez,5.0,No Data
2025-06-01,ryan yarbrough,3.5,-111,,-1.2688961075474277,✅ Under,🔥🔥,2.2311038924525723,ryan yarbrough,ryan yarbrough,7.0,No Data
2025-06-01,yoshinobu yamamoto,6.5,-116,,2.209287864190804,✅ Over,🔥🔥🔥🔥,8.709287864190804,yoshinobu yamamoto,yoshinobu yamamoto,7.0,No Data
