Rk,Player,SO,Date,Age,Team,Unnamed: 6,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
140,J.T. Ginn,7,2025-05-19,25-364,ATH,,LAA,"L, 3-4","GS-4, L",4.0,6,4,4,0,2,0,0,7,1,0,0,18,7,P
141,Colton Gordon,7,2025-05-19,26-150,HOU,@,TBR,"W, 4-3",GS-6,5.1,5,3,3,0,1,0,0,7,0,0,0,21,5,P
142,MacKenzie Gore,7,2025-05-11,26-076,WSN,,STL,"L, 1-6","GS-7, L",6.2,5,4,4,0,2,3,0,7,0,0,0,26,8,P
143,Logan Henderson,7,2025-05-14,23-073,MIL,@,CLE,"W, 9-5","GS-5, W",5.0,4,2,2,0,1,1,0,7,0,0,0,19,5,P
144,Logan Henderson,7,2025-05-20,23-079,MIL,,BAL,"W, 5-2","GS-5, W",5.0,2,0,0,0,0,2,0,7,0,0,0,19,4,P
145,Jordan Hicks,7,2025-05-03,28-239,SFG,,COL,"W, 6-3",GS-6,5.0,3,3,3,0,0,2,0,7,0,0,0,21,6,P
146,Gunnar Hoglund,7,2025-05-02,25-136,ATH,@,MIA,"W, 6-1","GS-6, W",6.0,6,1,1,0,1,0,0,7,0,0,0,22,6,P
147,Jake Irvin,7,2025-05-24,28-095,WSN,,SFG,"W, 3-0","GS-8, W",8.0,3,0,0,0,0,2,0,7,0,0,0,29,6,P
148,Jackson Jobe,7,2025-05-12,22-286,DET,,BOS,"W, 14-2","GS-6, W",5.2,3,1,1,0,1,5,0,7,1,0,0,26,9,P
149,Mitch Keller,7,2025-05-24,29-050,PIT,,MIL,"W, 2-1",GS-6,6.0,7,1,1,0,0,0,0,7,0,0,0,23,7,P
150,Yusei Kikuchi,7,2025-05-18,33-335,LAA,@,LAD,"W, 6-4",GS-6,5.2,3,1,1,0,0,4,0,7,0,0,0,24,7,P
151,Stephen Kolek,7,2025-05-10,28-022,SDP,@,COL,"W, 21-0","SHO, W",9.0,5,0,0,0,0,2,0,7,0,0,0,32,7,P
152,Nick Lodolo,7,2025-05-08,27-092,CIN,@,ATL,"L, 4-5 (11)",GS-6,6.0,5,2,2,0,0,0,0,7,0,0,0,23,5,P
153,Nick Lodolo,7,2025-05-19,27-103,CIN,@,PIT,"W, 7-1","GS-6, W",6.0,4,1,1,0,0,1,0,7,1,0,0,24,6,P
154,Michael Lorenzen,7,2025-05-09,33-125,KCR,,BOS,"W, 2-1 (12)",GS-7,7.0,3,0,0,0,0,0,0,7,1,0,1,25,4,P
155,Zebby Matthews,7,2025-05-30,25-008,MIN,@,SEA,"W, 12-6 (10)",GS-7,7.0,6,4,4,0,2,1,0,7,0,0,0,27,7,P
156,Tylor Megill,7,2025-05-10,29-286,NYM,,CHC,"L, 5-6","GS-5, L",4.2,7,4,4,0,1,2,0,7,0,0,0,22,9,P
